title;price;location A;location B;location C;location D;location E;size;lat;long
Stan Zemun Polje;200;Serbia;Beograd ;Opština Zemun ;Zemun polje ;Dobrovoljnih vatrogasaca 24;47;44.8713495;20.3229809
Garsonjera, Vracar;200;Serbia;Beograd ;Opština Vračar ;Bulevar kralja Aleksandra ;Resavska ;23;44.8027133;20.4820642
Izdajem stan u Malom Mokrom Lugu 40m2;200;Serbia;Beograd ;Opština Zvezdara ;Mali Mokri Lug ;20. Oktobar 40a;40;44.7744443;20.53607
izdajem jednoiposoban namesten stan;200;Serbia;Beograd ;Opština Zvezdara ;Kluz ;ruze jovanovic ;35;44.7897293;20.5168098
Karaburma, renoviran, polunamešten, ID 17858;200;Serbia;Beograd ;Opština Palilula ;Karaburma ;Pabla Nerude ;33;44.8172662;20.509558
ZEMUN-CETINJSKA, 22M2, I, TA;200;Serbia;Beograd ;Opština Zemun ;Ćukovac ;Cetinjska-Zemun ;22;44.8456972;20.4057772
Stan Zemun Polje;220;Serbia;Beograd ;Opština Zemun ;Zemun polje ;Mihajla Pupina 26;50;44.8713495;20.3229809
Jednosoban stan;220;Serbia;Beograd ;Opština Zemun ;Gornji grad ;Branka Pešića ;25;44.8596448;20.3767304
Izdajem stan (Garsonjera) Ledine;220;Serbia;Beograd ;Opština Novi Beograd ;Ledine ;Jevrejskih zrtava 23;30;44.8035245;20.3432558
Izdajem jednosoban stan u Kaluđerici;230;Serbia;Beograd ;Opština Grocka ;Kaluđerica ;Limska ;36;44.7522835;20.5559331
Novi Beograd, Ledine - Bukovačka;230;Serbia;Beograd ;Opština Novi Beograd ;Ledine ;Bukovačka 14;23;44.8035245;20.3432558
+ ZVEZDARA SF 12479;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;ŠEJKINA ;38;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
Izdavanje stana;230;Serbia;Beograd ;Opština Zvezdara ;Mirijevo ;Jelisavete Andrejevic(okretnica 46);44;44.7854051;20.5461547
