title;price;place a;place b;place c;size;lat;long
Lekino brdo - novogradnja`23, 3s, IIspr, lift;257.888,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";86;44.7891937;20.4947692
Maksima Gorkog, Kalenić, Vračar;510.000,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";164;44.8001747;20.475769
Cerak vinogradi, uknjižen;95.000,00;"Beograd ";"Opština Čukarica ";"Cerak vinogradi ";41;44.7453393;20.422222
Renoviran, stara gradnja, Taš;209.500,00;"Beograd ";"Opština Stari grad ";"Centar ";75;34.8325353;-92.1873959
Prodaja, Dvosoban Stan, Vracar, Mome Kapora;250.000,00;"Beograd ";"Opština Vračar ";"Hram svetog Save ";54;44.7981382;20.4690468
Dorćol, lux, renoviran, uknjižen, ID 16384;350.000,00;"Beograd ";"Opština Stari grad ";"Dorćol ";93;44.8252158;20.460523
Stari grad, Centar - Bulevar despota Stefana 121m2;360.000,00;"Beograd ";"Opština Stari grad ";"Centar ";121;34.8325353;-92.1873959
Gandijeva, Blok 70, Novi Beograd;143.100,00;"Beograd ";"Opština Novi Beograd ";Blok 70 (kineski tržni centar);51;44.80285809999999;20.3931315
Blok 33, Omladinskih brigada, svetao 2.5;170.000,00;"Beograd ";"Opština Novi Beograd ";Blok 33;65;44.8205858;20.4074632
Prodajem stan na Ledinama, 63m2, glavni put.;91.350,00;"Beograd ";"Opština Surčin ";"Ledine ";63;44.8035245;20.3432558
Matice Srpske Mirijevo Zvezdara Beograd Srbija;135.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";67;44.7854051;20.5461547
Prodaja,trosoban Stan,tasmajdan,palilula;209.000,00;"Beograd ";"Opština Palilula ";"Tašmajdan ";74;44.8096815;20.469996
Prodaja, Trosoban Stan, Stari Merkator, Novi Beogr;260.000,00;"Beograd ";"Opština Novi Beograd ";"Stari Merkator ";74;44.8280022;20.4125119
Hram Svetog Save, Dubljanska,109m2+78m2 ID#44271;725.400,00;"Beograd ";"Opština Vračar ";"Hram svetog Save ";109;44.7981382;20.4690468
Prodaja, stan, Stojana Protića, 192m2, ID386;620.000,00;"Beograd ";"Opština Vračar ";"Hram svetog Save ";192;44.7981382;20.4690468
Prodaja, stan, Karadjordjev trg, ID376;220.000,00;"Beograd ";"Opština Zemun ";"Karađorđev trg ";75;44.837006;20.4174505
Prodaja, stan, Sumatovacka, 63m2, ID378;204.750,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";63;44.8001747;20.475769
Kompletno renoviran, odmah useljiv. ID#1176;339.000,00;"Beograd ";"Opština Novi Beograd ";Blok 33;103;44.8205858;20.4074632
2.5 stan u Učiteljskom naselju, Kačićeva ID#1691;160.000,00;"Beograd ";"Opština Zvezdara ";"Učiteljsko naselje ";66;44.7875437;20.5068282
Prodaja,trosoban Stan,bezanijska Kosa;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 1;90;44.82207529999999;20.3882486
20. oktobra, Barajevo-Gaj, Barajevo;90.000,00;"Beograd ";"Opština Barajevo ";"Gaj ";110;null;null
Rajka od Rasine, Banovo brdo, Čukarica;330.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";159;44.7767729;20.4155629
Mirijevo, Franca Jankea;117.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";57;44.7854051;20.5461547
Čukarica, Golf naselje - Tuniska;610.000,00;"Beograd ";"Opština Čukarica ";"Golf ";142;null;null
Blok 62, 76m2, XIII, cg, uk. ID#80310;147.000,00;"Beograd ";"Opština Novi Beograd ";Blok 62;76;44.8039695;20.376525
Čukarica, Golf naselje - Tuniska;500.000,00;"Beograd ";"Opština Čukarica ";"Golf ";147;null;null
Mirijevo,Vojina Đurašinovića, stan sa pogledom ..;119.900,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";66;44.7854051;20.5461547
Beograd na vodi, Vista, namešten penthouse sa gar.;550.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";56;44.80488280000001;20.448043
Rakovica, Petlovo brdo - Dobrivoja Petkovića, 73m2;130.000,00;"Beograd ";"Opština Rakovica ";"Petlovo brdo ";73;44.7220194;20.4242951
Uknjižen stan - Fontana ID#2830;130.000,00;"Beograd ";"Opština Novi Beograd ";"Fontana ";48;34.0922335;-117.435048
2.0, Vračar, Ljubostinjska, 54m2;178.000,00;"Beograd ";"Opština Vračar ";"Centar ";54;34.8325353;-92.1873959
Savski venac, Vojvode Milenka, salonac, prodaja;325.000,00;"Beograd ";"Opština Savski venac ";"Kneza Miloša ";105;44.8083301;20.4635596
Miljakovac - Vukasovićeva ID#1338;83.000,00;"Beograd ";"Opština Rakovica ";"Miljakovac ";45;44.7470721;20.4518071
Novi Beograd, Bežanijskih Ilegalaca ID#4387;185.000,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;88;44.8200035;20.3796226
Zvezdara, Mirijevo - renoviran;117.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";58;44.7854051;20.5461547
2.0 stan na Dedinju, Sime Lozanića ID#1223;94.000,00;"Beograd ";"Opština Savski venac ";"Dedinje ";51;44.77406879999999;20.4560195
Odličan stan na Čukaričkoj padini;170.000,00;"Beograd ";"Opština Čukarica ";"Čukarička padina ";63;44.7791826;20.4058581
Vračar, Centar - Svetog Save, 118m2;510.000,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";118;44.8001747;20.475769
Prodaje se Lux 3.5-115,87kv,useljenje u junu;359.200,00;"Beograd ";"Opština Voždovac ";"Autokomanda ";115,87;44.7902717;20.46634
Beograd, Hram svetog Save, Stan, 2.5, 74m2;236.800,00;"Beograd ";"Opština Vračar ";"Hram svetog Save ";74;44.7981382;20.4690468
Borča 3;75.000,00;"Beograd ";"Opština Palilula ";"Borča ";58;44.8787385;20.4667137
BW - Sensa, bez provizije za kupce, ID 17643;765.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";218,40;44.80488280000001;20.448043
BW - Sensa, bez provizije za kupce, ID 17643;765.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";218,40;44.80488280000001;20.448043
Karaburma, Pere Ćetkovica, 1,0, 40m2, T, 5/5,;77.500,00;"Beograd ";"Opština Palilula ";"Karaburma ";40;44.8172662;20.509558
Vračar, Crveni krst, stan, prodaja;90.000,00;"Beograd ";"Opština Vračar ";"Crveni krst ";35;44.795856;20.4882292
Novi Beograd, Bežanijska kosa, Nede Spasojević, 3.;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 1;90;44.82207529999999;20.3882486
Rakovica, Kanarevo brdo, Ivana Mičurina, 3.0, 61m2;140.000,00;"Beograd ";"Opština Rakovica ";"Kanarevo brdo ";61;44.7540124;20.4534458
Učiteljsko naselje,Dr.Velizara Kosanovića,1,0,37m2;82.500,00;"Beograd ";"Opština Zvezdara ";"Učiteljsko naselje ";37;44.7875437;20.5068282
BW - Aria, komforan, garaža, 19666;235.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";53;44.80488280000001;20.448043
Odličan-Konjarnik- Rudo, 71m2, VII, cg, uknj.;129.900,00;"Beograd ";"Opština Zvezdara ";"Konjarnik ";71;44.7827202;20.5067648
2.0 stan dr Ivana Ribara, Blok 72 ID#1454;125.000,00;"Beograd ";"Opština Novi Beograd ";"Dr Ivana Ribara ";53;44.8000403;20.3694329
Stan Bgd - Voždovac - Zaplanjska 29m2+L;75.000,00;"Beograd ";"Opština Voždovac ";"Zaplanjska ";29;44.7735581;20.4924226
Lekino brdo, dvoiposoban, uknjižen ID#4163;187.000,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";80;44.7891937;20.4947692
Beograd, Kluz, Stan, 3.0, 60m2;192.000,00;"Beograd ";"Opština Zvezdara ";"Kluz ";60;46.7712101;23.6236353
Beograd, Slavujev venac, Stan, 2.5, 65m2;180.000,00;"Beograd ";"Opština Zvezdara ";"Slavujev venac ";65;44.8067637;20.4848587
Beograd, Blok 63, Stan, 3.0, 71m2;160.000,00;"Beograd ";"Opština Novi Beograd ";Blok 63;71;44.805903;20.3823845
Beograd, Vojvode Vlahovića, Stan, 2.0, 66m2;165.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Vlahovića ";66;44.7598913;20.5068129
Beograd, Meandri, Stan, 1.5, 41m2;112.750,00;"Beograd ";"Opština Zemun ";"Meandri ";41;null;null
Beograd, Meandri, Stan, 2.5, 69m2;189.750,00;"Beograd ";"Opština Zemun ";"Meandri ";69;null;null
Beograd, Meandri, Stan, 1.5, 43m2;118.250,00;"Beograd ";"Opština Zemun ";"Meandri ";43;null;null
Beograd, Senjak, Stan, 2.0, 57m2;125.000,00;"Beograd ";"Opština Savski venac ";"Senjak ";57;44.7921816;20.4375457
Odličan stan za prodaju na Novom Beogradu,4.0,96m2;310.000,00;"Beograd ";"Opština Novi Beograd ";Blok 4 (Politehnička akademija);96;44.8264023;20.4013869
A blok, lux, namešten, garaža, ID 19648;255.000,00;"Beograd ";"Opština Novi Beograd ";Blok 67a (A blok);56;44.8061288;20.4015421
Beograd, Banovo brdo, Stan, 3.0, 74m2;200.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";74;44.7767729;20.4155629
Beograd, Vojvode Stepe, Stan, 3.0, 72m2;236.049,00;"Beograd ";"Opština Voždovac ";"Vojvode Stepe ";72;44.7608581;20.4848359
Beograd, Bogoslovija, Stan, 3.0, 64m2;159.000,00;"Beograd ";"Opština Palilula ";"Bogoslovija ";64;44.8151594;20.488473
Beograd, Žarkovo, Stan, 2.5, 83m2;140.000,00;"Beograd ";"Opština Čukarica ";"Žarkovo ";83;44.7615346;20.4130631
Beograd, Blok 4 (Politehnička akademija), Stan, 4.;310.000,00;"Beograd ";"Opština Novi Beograd ";Blok 4 (Politehnička akademija);103;44.8264023;20.4013869
Beograd, Save Kovačevića, Stan, 1.5, 38m2;113.000,00;"Beograd ";"Opština Zemun ";"Save Kovačevića ";38;44.793881;20.5275571
Beograd, Čukarička padina, Stan, 3.5, 87m2;247.950,00;"Beograd ";"Opština Čukarica ";"Čukarička padina ";87;44.7791826;20.4058581
Beograd, Cerak vinogradi, Stan, 2.5, 65m2;140.000,00;"Beograd ";"Opština Čukarica ";"Cerak vinogradi ";65;44.7453393;20.422222
Beograd, Golf, Stan, 1.0, 30m2;71.000,00;"Beograd ";"Opština Čukarica ";"Golf ";30;null;null
Beograd, Banovo brdo, Stan, 3.0, 74m2;300.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";74;44.7767729;20.4155629
Beograd, Tašmajdan, Stan, 4.0, 90m2;240.000,00;"Beograd ";"Opština Palilula ";"Tašmajdan ";90;44.8096815;20.469996
Beograd, Kanarevo brdo, Stan, 4.0, 129m2;195.000,00;"Beograd ";"Opština Rakovica ";"Kanarevo brdo ";129;44.7540124;20.4534458
Beograd, Vojvode Vlahovića, Stan, 2.0, 50m2;115.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Vlahovića ";50;44.7598913;20.5068129
Beograd, Lion, Stan, 3.5, 66m2;186.000,00;"Beograd ";"Opština Zvezdara ";"Lion ";66;null;null
Beograd, SC Vračar, Stan, 6.0, 221m2;620.000,00;"Beograd ";"Opština Vračar ";"SC Vračar ";221;44.7992794;20.4836421
Beograd, Bulevar oslobodjenja, Stan, 3.0, 69m2;265.000,00;"Beograd ";"Opština Voždovac ";"Bulevar oslobođenja ";69;44.7969609;20.4653586
Beograd, Mirijevo, Stan, 1.5, 38m2;72.500,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";38;44.7854051;20.5461547
Stari grad, Skadarlija - Žorža Klemansoa, 96m2;315.000,00;"Beograd ";"Opština Stari grad ";"Skadarlija ";96;44.8177794;20.4647229
Voždovac, Medaković II - Radovana Simića Cige;130.000,00;"Beograd ";"Opština Voždovac ";Medaković 2;72;44.7751713;20.4979187
Palilula,Višnjička banja, Sestara Bukumirović 37 m;85.000,00;"Beograd ";"Opština Palilula ";"Višnjička Banja ";49;44.82226;20.534591
Hadžipopovac, Cvijićeva, 1.5, 34m2, cena nije fiks;129.900,00;"Beograd ";"Opština Palilula ";"Hadžipopovac ";34;44.81188059999999;20.4833634
Severni bulevar, 31m2, pr, eg, u izgradnji;83.500,00;"Beograd ";"Opština Zvezdara ";"Severni bulevar ";31;44.8103739;20.4933597
Luks stan, Dedinje, Užička, 120m2, četvorosoban;499.999,00;"Beograd ";"Opština Savski venac ";"Dedinje ";120;44.77406879999999;20.4560195
Bežanijska kosa III, 3.0, 88m2 ID#1284;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;88;44.8200035;20.3796226
Sakura park, Blok 58, Jurija Gagarina;300.000,00;"Beograd ";"Opština Palilula ";"Centar ";89;34.8325353;-92.1873959
Beograd na vodi, Verde, Bulevar Vudroa Vilsona;331.800,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";79;44.80488280000001;20.448043
Crveni krst, Golubacka, 2.0 (adaptibilan u 3.0);250.000,00;"Beograd ";"Opština Vračar ";"Crveni krst ";104;44.795856;20.4882292
Konjarnik 62+5m2 ID#4816;175.000,00;"Beograd ";"Opština Voždovac ";"Konjarnik ";67;44.7827202;20.5067648
Lion, salonac, 3.5, 66m2 ID#1774;186.000,00;"Beograd ";"Opština Zvezdara ";"Lion ";71;null;null
Kanarevo brdo - Petra Konjovića ID#1388;50.000,00;"Beograd ";"Opština Rakovica ";"Kanarevo brdo ";36;44.7540124;20.4534458
New Minel, lux, novogradnja, dve garaže, ID 18686;615.000,00;"Beograd ";"Opština Novi Beograd ";Blok 65;148;44.8126665;20.3980309
BW - Sensa, bez provizije za kupce, ID 17641;460.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";134;44.80488280000001;20.448043
Vračar, Novopazarska, 75m2;185.000,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";75;44.8001747;20.475769
BW - Sensa, bez provizije za kupce, ID 17640;582.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";173;44.80488280000001;20.448043
BW - Sensa, bez provizije za kupce, ID 17639;452.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";125;44.80488280000001;20.448043
Palilula Karaburma 109m2 T;144.000,00;"Beograd ";"Opština Palilula ";"Karaburma ";109;44.8172662;20.509558
Savski venac, Beli dvor, Velisava Vulovića, 98m2;352.800,00;"Beograd ";"Opština Savski venac ";"Dedinje ";98;44.77406879999999;20.4560195
Palilula, Profesorska kolonija, Stevana Musića, 75;199.600,00;"Beograd ";"Opština Palilula ";"Profesorska kolonija ";75;44.8148751;20.4802817
Luksuzan stan na Senjaku sa pogledom na park-šumu;1.200.000,00;"Beograd ";"Opština Savski venac ";"Dedinje ";351;44.77406879999999;20.4560195
2.0 Altina, lux;72.000,00;"Beograd ";"Opština Zemun ";"Altina ";42;null;null
Bežanijska kosa 3 - Nede Spasojević;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;88;44.8200035;20.3796226
Vračar-Taš, 83m2, cg, useljiv, uknjižen;249.000,00;"Beograd ";"Opština Vračar ";"Pravni fakultet ";83;null;null
2.5 stan u Paviljonima, Radoja Dakića ID#1688;131.000,00;"Beograd ";"Opština Novi Beograd ";"Paviljoni ";53;44.8333519;20.4060828
Pukovnika Pejovića, Fon, Voždovac;119.800,00;"Beograd ";"Opština Voždovac ";"FON - Bilećka ";48;44.7677617;20.4786785
Žarkovo, 54m2, pr, gas, uk. ID#80081;82.000,00;"Beograd ";"Opština Čukarica ";"Žarkovo ";54;44.7615346;20.4130631
Beograd, Kalenić pijaca, Stan, 3.5, 89m2;222.000,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";89;44.8001747;20.475769
Arena, Blok 25;400.000,00;"Beograd ";"Opština Novi Beograd ";"Arena ";110;null;null
BW Scala II maj 2024., bez provizije ID#1129;457.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";111,80;44.80488280000001;20.448043
BW Kula, privilegija života na obali reke Save ID;1.479.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";162,65;44.80488280000001;20.448043
Odličan stan Fontana;185.000,00;"Beograd ";"Opština Novi Beograd ";"Fontana ";73;34.0922335;-117.435048
Zvezdara, lux novogradnja, garaža, ID 19873;147.000,00;"Beograd ";"Opština Zvezdara ";"Zvezdarska šuma ";49;44.8008537;20.5132406
Dvoiposobni, 50m2 dvorišta;155.000,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";56,69;44.7891937;20.4947692
Porodičan stan, 4.0, Gospodara Vučića;185.000,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";100;44.7891937;20.4947692
Renoviran i odmah useljiv;98.000,00;"Beograd ";"Opština Čukarica ";"Julino brdo ";50;44.7676092;20.4096266
Mirijevo, Kapetana Miloša Žunjića;65.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";31;44.7854051;20.5461547
Stari grad, Topličin venac, Maršala Birjuzova, 1.0;175.000,00;"Beograd ";"Opština Stari grad ";"Topličin venac ";40;44.8163707;20.4548842
Voždovac, Vojvode Vlahovića, Vojvode Vlahovića, 1.;91.800,00;"Beograd ";"Opština Voždovac ";"Vojvode Vlahovića ";37;44.7598913;20.5068129
Voždovac, Braće Jerković, Zaplanjska, 3.0, 65m2;139.000,00;"Beograd ";"Opština Voždovac ";"Braće Jerković ";65;44.7705535;20.4943111
Voždovac, Lekino brdo, Tetovska, 3.0, 78m2;234.000,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";78;44.7891937;20.4947692
Voždovac, Super Vero, Vojvode Stepe, 1.0, 28m2;87.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Stepe ";28;44.7608581;20.4848359
Grocka, Kaluđerica, Vojvode Stepe Stepanovića, 1.5;62.400,00;"Beograd ";"Opština Grocka ";"Kaluđerica ";39;44.7522835;20.5559331
Grocka, Kaluđerica, Vojvode Stepe Stepanovića, 1.5;76.800,00;"Beograd ";"Opština Grocka ";"Kaluđerica ";48;44.7522835;20.5559331
Novi Beograd, Bežanija, Pere Segedinca, 2.0, 50m2;210.500,00;"Beograd ";"Opština Novi Beograd ";"Stara Bežanija ";50;44.8072486;20.3718846
Voždovac, Vojvode Vlahovića, Vojvode Vlahovića, 2.;165.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Vlahovića ";66;44.7598913;20.5068129
Čukarica, Banovo brdo, Požeška, 3.0, 99m2;230.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";99;44.7767729;20.4155629
Savski venac, Beograd na vodi, Bulevar Vudroa Vils;217.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";30;44.80488280000001;20.448043
Vojvode Stepe, 2.0, 58m2 ID#1202;160.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Stepe ";58;44.7608581;20.4848359
Beograd, Zemun - Donji grad, Novogradska, Tri Nove;225.000,00;"Beograd ";"Opština Zemun ";"Donji grad ";68;45.5573036;18.7214836
Stan od 87 m2 kod fontane i st. merkatora, uknj.;198.000,00;"Beograd ";"Opština Novi Beograd ";"Fontana ";87;34.0922335;-117.435048
Rakovica, Miljakovac - Borska;59.900,00;"Beograd ";"Opština Rakovica ";"Miljakovac ";30;44.7470721;20.4518071
Bez provizije Zvezdara Vojvode Vlahovića nov troso;103.700,00;"Beograd ";"Opština Zvezdara ";"Veliki Mokri Lug ";61;44.7574333;20.5254314
Medak padina dvosoban nov sa PDVom;75.000,00;"Beograd ";"Opština Zvezdara ";"Veliki Mokri Lug ";43;44.7574333;20.5254314
Trosoban stan, 77m2, Banjica;154.000,00;"Beograd ";"Opština Voždovac ";"Banjica ";77;44.7621061;20.4683341
Petosoban stan na Galenici;180.000,00;"Beograd ";"Opština Zemun ";"Galenika ";127;44.85708289999999;20.3672942
4.0, Čuburski park, Cara Nikolaja II, 100m2+30m2(T;300.000,00;"Beograd ";"Opština Vračar ";"Čubura ";100;44.7954768;20.4773131
Beograd na vodi, Terra, trosoban stan, 75m2;337.500,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";75;44.80488280000001;20.448043
Kneza Miloša, kod Kanadske ambasade ID#37154;280.000,00;"Beograd ";"Opština Savski venac ";"Klinički centar ";108;43.8691644;18.4156868
Salonac kod Hrama;285.000,00;"Beograd ";"Opština Vračar ";"Hram svetog Save ";80;44.7981382;20.4690468
Blok 21 - Bulevar Zorana Đinđića 53kvm+T;174.900,00;"Beograd ";"Opština Novi Beograd ";Blok 21;53;44.8145051;20.4303868
Novogradnja Banovo brdo;249.900,00;"Beograd ";"Opština Čukarica ";"Žarkovo ";119;44.7615346;20.4130631
Kneginje Zorke Krunska Vračar Beograd Srbija;209.900,00;"Beograd ";"Opština Vračar ";"Krunska ";58;44.8052638;20.4702672
Dobračina Trg republike Stari grad Beograd Srbija;510.000,00;"Beograd ";"Opština Stari grad ";"Trg Republike ";120;46.0508788;14.5009992
Ilije Stojadinovića Filmski grad Čukarica Beogr...;290.000,00;"Beograd ";"Opština Čukarica ";"Filmski grad ";80;44.7532443;20.4316466
Centar - Dobračina ID#3589;246.900,00;"Beograd ";"Opština Stari grad ";"Centar ";67;34.8325353;-92.1873959
Odličan stan - fenomenalan pogled;200.000,00;"Beograd ";"Opština Novi Beograd ";Blok 70 (kineski tržni centar);90;44.80285809999999;20.3931315
Mirijevo, 54m2, I, cg, uk. ID#80827;99.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";54;44.7854051;20.5461547
Čukarica, Banovo brdo, Ada mall, 100m2;270.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";100;44.7767729;20.4155629
Čukarica, Banovo brdo, Ada mall, 60m2;162.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";60;44.7767729;20.4155629
Lekino brdo ID#3652;159.000,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";59;44.7891937;20.4947692
Vračar, 4.0 novija gradnja,parking ID#2127;349.000,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";138;44.793588;20.4809591
Autokomanda, Mitropolita Stratimirovića, 40m2 ID#4;112.000,00;"Beograd ";"Opština Voždovac ";"Autokomanda ";40;44.7902717;20.46634
Crveni krst, Vukice Mitrović, 74m2 ID#4384;207.000,00;"Beograd ";"Opština Vračar ";"Crveni krst ";74;44.795856;20.4882292
Cerak vinogradi - Platana;172.000,00;"Beograd ";"Opština Čukarica ";"Cerak vinogradi ";64;44.7453393;20.422222
Rakovica, Vidikovački venac;85.000,00;"Beograd ";"Opština Rakovica ";"Vidikovac ";70;44.7383997;20.4205895
Blok 44, Gandijeva ID#1048;174.000,00;"Beograd ";"Opština Novi Beograd ";Blok 44 (TC Piramida);66;44.8019065;20.3869173
Lux 2.0, BW Verde ID#1478;290.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";54,37;44.80488280000001;20.448043
Lux 2.0 stan, BW Verde ID#1479;290.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";53,74;44.80488280000001;20.448043
Yubc,136m2 (200m2), I,cg,Lux;380.000,00;"Beograd ";"Opština Novi Beograd ";"YUBC ";200;null;null
Stari grad Cara Uroša 102m2+parking ID#1263;280.000,00;"Beograd ";"Opština Stari grad ";"Knez Mihailova ";102;44.8177356;20.4569894
Dedinje, Beli dvor 157m2+16m2 ID#1269;348.000,00;"Beograd ";"Opština Savski venac ";"Dedinje ";157;44.77406879999999;20.4560195
Centar, Sterijina, 0,5, 20m2, nisko prizemlje/4, u;45.000,00;"Beograd ";"Opština Palilula ";"Centar ";20;34.8325353;-92.1873959
Stan 39m2;58.000,00;"Beograd ";"Opština Zemun ";"Altina ";39;null;null
Lux novogradnja, Crveni krst, Bregalnička;264.000,00;"Beograd ";"Opština Zvezdara ";"Crveni krst ";87;44.795856;20.4882292
3.0 Slavujev venac;120.000,00;"Beograd ";"Opština Zvezdara ";"Slavujev venac ";70;44.8067637;20.4848587
Denkova bašta, 1.5, 35+30T, vpr;82.000,00;"Beograd ";"Opština Zvezdara ";"Denkova bašta ";35;44.7880311;20.5009891
Blok 70a, trosoban, 95 m2, 6 sprat, uknjižen;235.000,00;"Beograd ";"Opština Novi Beograd ";Blok 70a;95;44.80040899999999;20.402188
Stan sa pogledom na crkvu Sv. Marka;260.000,00;"Beograd ";"Opština Vračar ";"Bulevar kralja Aleksandra ";90;44.7882497;20.5167404
Beograd na vodi, zgrada Riviera , 156m2;946.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";155,73;44.80488280000001;20.448043
Stan u Lazarevcu, 79 m²;62.900,00;"Beograd ";"Opština Lazarevac ";"Lazarevac (mesto) ";79;44.37881230000001;20.2623661
Novi Beograd, Bulevar Milutina Milankovića ID#4385;299.000,00;"Beograd ";"Opština Novi Beograd ";Blok 23;74;44.8084235;20.4240856
Lekino brdo-Tetovska, 50m2, III, eg, lux, + pdv ID;135.000,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";50;44.7891937;20.4947692
Vozdovac Vojvode Stepe-vero 46m2;67.000,00;"Beograd ";"Opština Voždovac ";"Vojvode Stepe ";46;44.7608581;20.4848359
Vojvode Savatija , stan na prodaju , Zvezdara;220.000,00;"Beograd ";"Opština Zvezdara ";"Đeram pijaca ";105;44.80133319999999;20.4872266
Nede Spasojević Bežanijska kosa 3 Novi Beograd ...;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;88;44.8200035;20.3796226
Voždovac, Autokomanda - Admirala Vukovića;119.500,00;"Beograd ";"Opština Voždovac ";"Autokomanda ";32;44.7902717;20.46634
Bežanijska kosa III - Nede Spasojević;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;88;44.8200035;20.3796226
Kapetana Miloša Žunjića - Mirijevo;135.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";73;44.7854051;20.5461547
Zvezdara Mirijevo 45m2 T;82.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";45;44.7854051;20.5461547
Bežanijska kosa 3, Nede Spasojević;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;81;44.8200035;20.3796226
Bežanijska kosa 3, Nede Spasojević;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;81;44.8200035;20.3796226
Lux, namešten, adaptibilan;120.000,00;"Beograd ";"Opština Zvezdara ";"Bulbulder ";37;44.8028978;20.492606
Blok 37 ID#3651;158.000,00;"Beograd ";"Opština Novi Beograd ";Blok 37;74;44.8202941;20.3992782
Voždovac-Banjica-Paunova-55m2;125.000,00;"Beograd ";"Opština Voždovac ";"Banjica ";55;44.7621061;20.4683341
Prodaja stana, Mirijevo 3.0 65m2 ID#1122;170.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";65;44.7854051;20.5461547
Vračar, Kalenić, lux ID#4365;525.000,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";150;44.8001747;20.475769
BW, Aria 109,21m2 ID#4810;455.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";109;44.80488280000001;20.448043
BW Queens park, 54.36m2 ID#6625;237.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";54,36;44.80488280000001;20.448043
BW Queens park, 75.46m2 ID#6626;272.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";75,46;44.80488280000001;20.448043
BW Queens park, 54.64m2 ID#6627;233.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";54,64;44.80488280000001;20.448043
BW Queens park, 71.05m2 ID#6628;265.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";71,05;44.80488280000001;20.448043
