title;price;place a;place b;place c;size;lat;long
Extra Extra lux penthaus u Jove Ilića-bez provizij;880.000,00;"Beograd ";"Opština Voždovac ";"Jove Ilića ";220;44.7793343;20.471697
Extra Extra Lux stan u Jove Ilica-bez provizije;363.000,00;"Beograd ";"Opština Voždovac ";"Jove Ilića ";121;44.7793343;20.471697
Origami Residence - stan sa velikom terasom;294.900,00;"Beograd ";"Opština Zemun ";"Cara Dušana ";109,46;44.822642;20.4614542
Zvezdara, Luštička, 48+17m2, novogradnja ID#6653;106.700,00;"Beograd ";"Opština Zvezdara ";"Cvetanova ćuprija ";65;44.7674746;20.5139649
Vozdovac, Ljube Sercera;200.000,00;"Beograd ";"Opština Voždovac ";"FON - Bilećka ";115;44.7677617;20.4786785
Salonski stan na Gundulicevom vencu-bez provizije;350.000,00;"Beograd ";"Opština Stari grad ";"Gundulićev venac ";101;44.8203336;20.4690457
The One, lux, neuseljavan, dve garaže, ID 19891;390.300,00;"Beograd ";"Opština Novi Beograd ";Blok 67a (A blok);112;44.8061288;20.4015421
Vojvode Stepe, novogradnja, lux, četvorosoban ID#1;273.000,00;"Beograd ";"Opština Voždovac ";"Autokomanda ";91;44.7902717;20.46634
BW - Nika, studio apartman, odlična investicija ID;162.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";32,03;44.80488280000001;20.448043
BW - Riviera, stan u prestižnoj zgradi ID#1180;482.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";80,58;44.80488280000001;20.448043
Karaburma lux;96.800,00;"Beograd ";"Opština Palilula ";"Karaburma ";55;44.8172662;20.509558
Karaburma lux;58.520,00;"Beograd ";"Opština Palilula ";"Karaburma ";38;44.8172662;20.509558
Moderan, Lux renoviran stan, 44m2, Kluz ID#1023;136.000,00;"Beograd ";"Opština Zvezdara ";"Kluz ";44;46.7712101;23.6236353
Kod Voždovih kapija, lux;250.000,00;"Beograd ";"Opština Voždovac ";"FON - Bilećka ";85;44.7677617;20.4786785
Sakura park;300.000,00;"Beograd ";"Opština Novi Beograd ";Blok 58;89;44.8007004;20.4103691
Predivan 2.0 stan na Vračaru, Kalenić pijaca;214.500,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";58;44.8001747;20.475769
Centar - pešačka zona - Knez - Obilićev venac;460.000,00;"Beograd ";"Opština Stari grad ";"Obilićev venac ";115;44.8162419;20.4571706
Gospodar Jevremova;240.000,00;"Beograd ";"Opština Stari grad ";"Centar ";67;34.8325353;-92.1873959
Blok 45, renoviran jednoiposoban stan;128.500,00;"Beograd ";"Opština Novi Beograd ";Blok 45 (TC Enjub);50;44.7983726;20.3743625
Blok 21, Bulevar Zorana Đinđića, 53m2, prazno, use;164.500,00;"Beograd ";"Opština Novi Beograd ";Blok 21;53;44.8145051;20.4303868
Odlican stan, vlasnik;126.000,00;"Beograd ";"Opština Zvezdara ";"Učiteljsko naselje ";42;44.7875437;20.5068282
Jednosoban sa lođom, Dorćol;135.000,00;"Beograd ";"Opština Stari grad ";"Dorćol ";40;44.8252158;20.460523
Rakovica Vidikovac;126.900,00;"Beograd ";"Opština Rakovica ";"Vidikovac ";66;44.7383997;20.4205895
Žarkovo, Hitno, Lux, retko u ponudi, 47m2, I/III,;99.000,00;"Beograd ";"Opština Čukarica ";"Žarkovo ";47;44.7615346;20.4130631
Blok 58;240.000,00;"Beograd ";"Opština Novi Beograd ";Blok 58;54;44.8007004;20.4103691
Stan 62m2, Mirijevo Jovanke Radakovic ID#1017;125.000,00;"Beograd ";"Opština Zvezdara ";"Mirijevo ";62;44.7854051;20.5461547
Krnjača, lep, svetao stan, blizu Zrenjaninskog put;52.000,00;"Beograd ";"Opština Palilula ";"Krnjača ";38;44.8475573;20.5185941
BW Verde, nov, lux 4.0 stan sa pogledom na Hram;557.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";117;44.80488280000001;20.448043
Vlasnik - prodajem lux stan (65m2 + 60m2);225.000,00;"Beograd ";"Opština Voždovac ";"Lekino brdo ";125;44.7891937;20.4947692
Dupleks sa dva parking mesta, Miloja Đaka, Dedinje;530.000,00;"Beograd ";"Opština Savski venac ";"Dedinje ";236;44.77406879999999;20.4560195
Stan sa panoramskim pogledom;144.000,00;"Beograd ";"Opština Novi Beograd ";Blok 64;78;44.808996;20.3917616
Novija zgrada sa garažnim mestom;340.000,00;"Beograd ";"Opština Stari grad ";"Centar ";84;34.8325353;-92.1873959
Extra luks apartman na 3 nivoa sa opremljenim spa;505.000,00;"Beograd ";"Opština Stari grad ";"Centar ";65;34.8325353;-92.1873959
Pariske Komune, 96m2, 4.0, lux;310.000,00;"Beograd ";"Opština Novi Beograd ";Blok 4 (Politehnička akademija);96;44.8264023;20.4013869
Konjarnik, 66kvm, CG, lVspr, lođa, odmah useljiv;145.000,00;"Beograd ";"Opština Zvezdara ";"Konjarnik ";66;44.7827202;20.5067648
Useljiv trosoban stan 83m2, Kennedy Residence, Lux;348.600,00;"Beograd ";"Opština Novi Beograd ";Blok 9a;83;44.8318855;20.4149874
BW Verde, nov, lux 4,0 sa jedinstvenim pogledom;502.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";104;44.80488280000001;20.448043
Odličan stan sa garažnim mestom adaptibilan u 2.5;181.000,00;"Beograd ";"Opština Voždovac ";"Naselje Stepa Stepanović ";62;44.75355;20.49656
Vračar, Crveni krst - Sazonova;237.000,00;"Beograd ";"Opština Vračar ";"Crveni krst ";79;44.795856;20.4882292
Odličan, adaptibilan, funkcionalan;149.500,00;"Beograd ";"Opština Novi Beograd ";Blok 45 (TC Enjub);66;44.7983726;20.3743625
Zvezdara, Olimp - Matice srpske;112.000,00;"Beograd ";"Opština Zvezdara ";"Olimp ";52;null;null
Novi Beograd, Blok 63 - Gandijeva;155.000,00;"Beograd ";"Opština Novi Beograd ";Blok 63;75;44.805903;20.3823845
Vračar, Kalenić pijaca- Makenzijeva;248.000,00;"Beograd ";"Opština Vračar ";"Kalenić pijaca ";82;44.8001747;20.475769
Immo centar, 75m2.;150.000,00;"Beograd ";"Opština Novi Beograd ";Blok 64;75;44.808996;20.3917616
Lux apartman na mirnom mestu ID#122070;122.200,00;"Beograd ";"Opština Novi Beograd ";Blok 34 (Carina - Studentski grad);33;44.8251222;20.3993279
Vračar - Južni bulevar, 140m2;267.000,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";140;44.793588;20.4809591
Renoviran, stara gradnja, Taš;209.500,00;"Beograd ";"Opština Stari grad ";"Centar ";75;34.8325353;-92.1873959
Prodajem dvosoban stan;250.000,00;"Beograd ";"Opština Voždovac ";"Dušanovac ";71;44.7817724;20.4820974
Zvezdara trosoban stan 70m2 uknjižen;161.000,00;"Beograd ";"Opština Zvezdara ";"Cvetkova pijaca ";70;44.7929494;20.5037812
Central Palace: Rezidencija luksuza. Vaš dom;192.700,00;"Beograd ";"Opština Zvezdara ";"Vukov Spomenik ";63,17;44.8046413;20.4832729
Mileve Marić, 2.0,Nov ,Odličan,53m2, Uknjižen;141.000,00;"Beograd ";"Opština Novi Beograd ";"Dr Ivana Ribara ";53;44.8000403;20.3694329
Gandijeva, blok 63, kod Immo centra, 1-soban 34 m2;102.000,00;"Beograd ";"Opština Novi Beograd ";Blok 63;34;44.805903;20.3823845
Uknjižen stan Banovo Brdo;70.000,00;"Beograd ";"Opština Čukarica ";"Banovo brdo ";32;44.7767729;20.4155629
Lep, veliki stan, na odličnoj lokaciji;524.000,00;"Beograd ";"Opština Savski venac ";"Karađorđeva ";202;null;null
Vidikovac;177.000,00;"Beograd ";"Opština Rakovica ";"Vidikovac ";85;44.7383997;20.4205895
