title;price;place a;place b;place c;size;lat;long
Renoviran stan u bloku 61;600,00;Beograd ;Opština Novi Beograd ;Blok 61;"50";44.8033864;20.3699008
Izdavanje Lux dvosobnog stana;800,00;Beograd ;Opština Savski venac ;Lisičji potok ;"52";44.76345999999999;20.4578397
Petosoban stan u naselju Medaković 140m2 + terasa;700,00;Beograd ;Opština Voždovac ;Medaković 1;"140";44.7757766;20.505115
Crveni krst;450,00;Beograd ;Opština Vračar ;Crveni krst ;"40";44.795856;20.4882292
Blok 45;600,00;Beograd ;Opština Novi Beograd ;Blok 45 (TC Enjub);"65";44.7983726;20.3743625
Blok 45, odmah useljiv, dvosoban,namesten, vlasnik;590,00;Beograd ;Opština Novi Beograd ;Blok 45 (TC Enjub);"60";44.7983726;20.3743625
Stan na Vračaru;750,00;Beograd ;Opština Vračar ;Kalenić pijaca ;"55";44.8001747;20.475769
Širi centar - Visnjicka Banja ID#51796;550,00;Beograd ;Opština Palilula ;Višnjička Banja ;"65";44.82226;20.534591
West 65, lux, novogradnja, garaža, ID 18602;1.800,00;Beograd ;Opština Novi Beograd ;Blok 65;"60";44.8126665;20.3980309
Profesorska kolonija, funkcionalan, ID 19761;650,00;Beograd ;Opština Palilula ;Profesorska kolonija ;"59";44.8148751;20.4802817
Savada, blok 67A, lux, 4.0, ID 16733;1.950,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"96";44.8061288;20.4015421
Arena, lux, novogradnja, ID 19621;2.350,00;Beograd ;Opština Novi Beograd ;Blok 22;"174";44.811609;20.4264583
Gradska bolnica, neuseljavan, garaža, ID 19805;1.000,00;Beograd ;Opština Zvezdara ;Gradska bolnica ;"66";null;null
A blok, novogradnja, garaža, ID 19693;1.100,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"56";44.8061288;20.4015421
Blok 72, lux, renoviran, ID 18013;800,00;Beograd ;Opština Novi Beograd ;Blok 72;"84";44.7998622;20.3677259
Lux, Slavujev venac, 3.0, 65 m2;900,00;Beograd ;Opština Zvezdara ;Slavujev venac ;"65";44.8067637;20.4848587
Kompletno renoviran stan u Brace Jerkovic;550,00;Beograd ;Opština Voždovac ;Braće Jerković ;"80";44.7705535;20.4943111
Dvosoban stan u bloku 63 sa garažnim mestom;850,00;Beograd ;Opština Novi Beograd ;Blok 63;"57";44.805903;20.3823845
Centar - Lion Cvetko ID#51268;700,00;Beograd ;Opština Zvezdara ;Lion ;"75";null;null
Centar - Vracar ID#51790;1.000,00;Beograd ;Opština Zvezdara ;Crveni krst ;"65";44.795856;20.4882292
Novi Beograd - Dr Ivana Ribara ID#51613;400,00;Beograd ;Opština Novi Beograd ;Blok 61;"64";44.8033864;20.3699008
Novi Beograd - West 65 TOWER ID#51748;1.500,00;Beograd ;Opština Novi Beograd ;Blok 65;"61";44.8126665;20.3980309
Slavija1,5.Cvetni trg,36m2.Njegoseva.vlasnik.;400,00;Beograd ;Opština Vračar ;Cvetni trg ;"36";44.8056269;20.4653886
The One, 2.0 lux, garaža ID#15932;1.500,00;Beograd ;Opština Novi Beograd ;Blok 65;"60";44.8126665;20.3980309
Izdaje se odličan stan na Vračaru ID#1079;700,00;Beograd ;Opština Zvezdara ;Đeram pijaca ;"50";44.80133319999999;20.4872266
Vračar,Hram,stan 4.0,122m2+2GM ID#1173;1.900,00;Beograd ;Opština Vračar ;Hram svetog Save ;"122";44.7981382;20.4690468
strogi centar, trosoban 80m2, renoviran, EG;900,00;Beograd ;Opština Stari grad ;Skupština ;"80";44.8115854;20.4658261
Extra Lux opremljen stan u Savadi sa garažom;1.100,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"67";44.8061288;20.4015421
Jednosoban stan (One bed flat to let) - Vračar;350,00;Beograd ;Opština Vračar ;Slavija ;"38";44.8027838;20.465944
Dvosoban stan Vukov Spomenik - Ruzveltova;420,00;Beograd ;Opština Palilula ;Ruzveltova ;"45";44.8068906;20.4803233
Autokomanda, 4.0 kuća, 90 m2;800,00;Beograd ;Opština Voždovac ;Autokomanda ;"90";44.7902717;20.46634
Stan 71m²;700,00;Beograd ;Opština Zemun ;Altina ;"71";null;null
Stan na dan, Sarajevska Beograd, Klinicki centar;30,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"45";44.80488280000001;20.448043
REZERVISANO kod Vuka, 2.0, 63m2, terasa + parking;600,00;Beograd ;Opština Zvezdara ;Vukov Spomenik ;"63";44.8046413;20.4832729
1 bedroom & living room - Pure Residence;1.500,00;Beograd ;Opština Voždovac ;Vitanovačka ;"50";44.7781744;20.4774302
Naselje Vojvode Vlahovića Lux stan 3.0;900,00;Beograd ;Opština Voždovac ;Vojvode Vlahovića ;"51";44.7598913;20.5068129
Stan u Beogradu 3 sobe, slobodan od 7mog marta.;400,00;Beograd ;Opština Palilula ;Kotež ;"70";44.85071139999999;20.4697987
Renoviran stan kod hotela Jugoslavija, 78m2;650,00;Beograd ;Opština Novi Beograd ;Hotel Jugoslavija ;"78";44.8295445;20.4201481
Banijska, Zemun. Polunamesten nov stan;750,00;Beograd ;Opština Zemun ;Gornji grad ;"70";46.2961712;14.8062347
